40
64
Alliston,Shelburne,28.2,26
Alliston,Tottenham,17.8,17
Shelburne,Orangeville,24.9,23
Bradford,Tottenham,23.9,25
Bradford,Newmarket,14.3,21
Bradford,King City,28.8,25
Uxbridge,Port Perry,15.8,18
Uxbridge,Stoufville,21.6,23
Port Perry,Oshawa,25.5,33
Newmarket,Aurora,6.7,14
Tottenham,Orangeville,29.6,28
Tottenham,Bolton,21,23
Orangeville,Arthur,37.3,34
Orangeville,Erin,21.7,22
Orangeville,Brampton,38.6,36
Arthur,Fergus,19.5,18
Bolton,King City,18.8,21
Bolton,Woodbridge,17.2,25
King City,Aurora,14.2,17
King City,Vaughan,8.7,11
Aurora,Markham,26.1,27
Stoufville,Markham,26.8,26
Ajax,Scarborough,23.5,20
Oshawa,Ajax,16.6,15
Bowmanville,Oshawa,20.1,20
Markham,Scarborough,24.3,22
Markham,Vaughan,20.7,24
Scarborough,North York,16.7,16
Scarborough,Toronto,27.2,24
North York,Vaughan,29.1,24
North York,Etobicoke,28.5,19
Toronto,Etobicoke,13,14
Etobicoke,Vaughan,35.5,25
Etobicoke,Woodbridge,24.5,17
Etobicoke,Brampton,31.1,21
Etobicoke,Mississauga,14.5,18
Mississauga,Brampton,21.1,19
Mississauga,Milton,29.3,28
Mississauga,Oakville,21,24
Woodbridge,Brampton,26.2,24
Vaughan,Woodbridge,16.7,24
Brampton,Georgetown,16.4,25
Brampton,Milton,33.9,28
Georgetown,Rockwood,25.7,26
Georgetown,Erin,23.4,26
Erin,Fergus,37.6,35
Erin,Rockwood,23,23
Oakville,Burlington,21.4,21
Rockwood,Guelph,12.6,17
Milton,Guelph,41.5,42
Milton,Cambridge,46,40
Milton,Burlington,28.9,28
Fergus,Elmira,24.5,24
Elmira,Kitchener,22.4,22
Guelph,Fergus,21.8,25
Guelph,Kitchener,25.3,34
Guelph,Cambridge,23.5,35
Kitchener,Cambridge,21.5,30
Cambridge,Hamilton,44.4,42
Burlington,Hamilton,18.5,17
Hamilton,Brantford,40.8,33
Grimsby,Hamilton,30,30
Brantford,Paris,12.5,16
Paris,Cambridge,21.9,23
